bio.tools	debian
inspect_ms	inspect
massxpert	msxpertsuite
htseqcount	python-htseq
uniprot.ws	r-bioc-biocgenerics
htseq	python-htseq
ray	ray
spp	r-other-hms-dbmi-spp
pyfaidx	python3-pyfaidx
mach	mach-haplotyper
hisat2	hisat2
sparta	sparta
rapmap	rapmap
seqcluster	python3-seqcluster
biocgenerics	r-bioc-biocgenerics
variantannotation	r-bioc-variantannotation
predictionet	r-bioc-biocgenerics
biomart	r-bioc-biomart
bioconductor	r-bioc-biocgenerics
psichomics	r-bioc-biocgenerics
gene.e	r-bioc-biocgenerics
mash	mash
a4reporting	r-bioc-biocgenerics
biocinstaller	r-bioc-biocgenerics
gotools	r-bioc-biocgenerics
shortread	r-bioc-shortread
rnaseqsamplesize	r-bioc-biocgenerics
cyvcf2	python3-cyvcf2
affyqcreport	r-bioc-biocgenerics
rmir	r-bioc-biocgenerics
gseabase	r-bioc-biocgenerics
qtltools	qtltools
trio	r-bioc-biocgenerics
sigma_align	sigma-align
pscan-chip	pscan-chip
rainbow	bio-rainbow
plip	plip
sibelia	sibelia
cobrapy	python3-cobra
biojava	libbiojava-java
rbm	r-bioc-biocgenerics
splicesites	r-bioc-biocgenerics
ssize	r-bioc-biocgenerics
timecourse	r-bioc-biocgenerics
sepa	r-bioc-biocgenerics
trigger	r-bioc-biocgenerics
rtrmui	r-bioc-biocgenerics
seqvartools	r-bioc-biocgenerics
rariant	r-bioc-biocgenerics
rgraph2js	r-bioc-biocgenerics
affycompatible	r-bioc-biocgenerics
affycontam	r-bioc-biocgenerics
protgenerics	r-bioc-biocgenerics
zlibbioc	r-bioc-biocgenerics
a4base	r-bioc-biocgenerics
abarray	r-bioc-biocgenerics
splots	r-bioc-biocgenerics
scsr	r-bioc-biocgenerics
mason	artfastqgenerator
tracktables	r-bioc-biocgenerics
hdf5array	r-bioc-biocgenerics
heatplus	r-bioc-biocgenerics
matrixrider	r-bioc-biocgenerics
rcyjs	r-bioc-biocgenerics
